time*0.5 [s],altitude [cm],rot_old [rpm],airspeed [m/s],yaw [deg],pitch [deg],roll [deg],rot_twe [rpm],thrust_h,thrust_m,thrust_l,rudder,elevator,rudderFB,elevatorFB,rudderTrim,elevatortrim,battVoltage,battCurrent,nunchuckC,nunchuckZ
178,19,0.0,0.0,0.0,2.8,176.0,0.8,0,0,0,90,90,180,180,90,90,791,14,0,0
179,19,0.0,0.0,0.0,2.7,176.2,0.8,0,0,0,90,90,180,180,90,90,790,15,0,0
180,19,0.0,0.0,0.0,2.7,176.2,0.8,0,0,0,90,90,180,180,90,90,790,16,0,0
181,19,0.0,0.0,0.0,2.7,176.1,0.8,0,567,9528,90,90,180,180,90,90,790,17,0,0
182,19,0.0,0.0,0.0,2.8,176.1,0.8,0,567,9528,90,90,180,180,90,90,791,15,0,0
183,19,0.0,0.0,0.0,2.7,176.1,0.8,0,567,9528,90,90,180,180,90,90,790,16,0,0
184,19,0.0,0.0,0.0,2.8,176.2,0.8,0,0,0,90,90,180,180,90,90,791,15,0,0
185,19,0.0,0.0,0.0,2.9,176.1,0.8,0,0,0,90,90,180,180,90,90,791,15,0,0
186,19,0.0,0.0,0.0,2.9,176.1,0.8,0,0,0,90,90,180,180,90,90,790,15,0,0
187,19,0.0,0.0,0.0,2.8,176.1,0.8,0,0,0,90,90,180,180,90,90,791,14,0,0
188,21,0.0,0.0,0.0,2.8,176.0,0.8,0,567,9147,90,90,180,180,90,90,791,16,0,0
189,21,0.0,0.0,0.0,2.9,175.8,0.8,0,567,9147,90,90,180,180,90,90,790,16,0,0
190,21,0.0,0.0,0.0,2.7,176.0,0.8,0,567,9147,90,90,180,180,90,90,790,15,0,0
191,19,0.0,0.0,0.0,2.7,175.9,0.8,0,0,0,90,90,180,180,90,90,790,17,0,0
192,19,0.0,0.0,0.0,2.8,175.7,0.8,0,0,0,90,90,180,180,90,90,790,14,0,0
193,19,0.0,0.0,0.0,2.9,175.7,0.8,0,0,0,90,90,180,180,90,90,791,15,0,0
194,21,0.0,0.0,0.0,3.0,175.7,0.8,0,0,0,90,90,180,180,90,90,791,15,0,0
195,21,0.0,0.0,0.0,2.9,175.8,0.8,0,0,0,90,90,180,180,90,90,790,7,0,0
196,21,0.0,0.0,0.0,2.9,176.0,0.8,0,0,0,90,90,180,180,90,90,791,15,0,0
197,19,0.0,0.0,0.0,3.0,176.0,0.8,0,0,0,90,90,180,180,90,90,790,16,0,0
198,19,0.0,0.0,0.0,2.9,176.1,0.8,0,0,0,90,90,180,180,90,90,790,17,0,0
199,19,0.0,0.0,0.0,2.8,176.1,0.8,0,0,0,90,90,180,180,90,90,790,15,0,0
200,19,0.0,0.0,0.0,2.7,176.0,0.8,0,0,0,90,90,180,180,90,90,790,14,0,0
201,19,0.0,0.0,0.0,2.7,175.8,0.8,0,0,0,90,90,180,180,90,90,790,14,0,0
202,19,0.0,0.0,0.0,2.8,175.8,0.8,0,0,0,90,90,180,180,90,90,790,17,0,0
203,21,0.0,0.0,0.0,2.8,176.2,0.8,0,0,0,90,90,180,180,90,90,790,15,0,0
204,21,0.0,0.0,0.0,2.8,176.0,0.8,0,0,0,90,90,180,180,90,90,791,14,0,0
205,21,0.0,0.0,0.0,2.8,175.9,0.8,0,0,0,90,90,180,180,90,90,790,16,0,0
206,21,0.0,0.0,0.0,2.8,175.9,0.8,0,0,0,90,90,180,180,90,90,790,15,0,0
207,21,0.0,0.0,0.0,2.6,176.3,0.8,0,0,0,90,90,180,180,90,90,790,15,0,0
208,21,0.0,0.0,0.0,2.6,176.2,0.8,0,0,0,90,90,180,180,90,90,790,14,0,0
209,21,0.0,0.0,0.0,2.7,176.1,0.8,0,0,0,90,90,180,180,90,90,790,16,0,0
210,21,0.0,0.0,0.0,2.8,176.0,0.8,0,0,0,90,90,180,180,90,90,790,16,0,0
211,33,0.0,0.0,0.0,2.9,176.0,0.8,0,0,0,90,90,180,180,90,90,790,17,0,0
212,33,0.0,0.0,0.0,2.8,176.2,0.8,0,0,0,90,90,180,180,90,90,791,15,0,0
213,19,0.0,0.0,0.0,2.8,176.1,0.6,0,0,0,90,90,180,180,90,90,791,15,0,0
214,19,0.0,0.0,0.0,2.9,176.1,0.6,0,0,0,90,90,180,180,90,90,790,15,0,0
215,33,0.0,0.0,0.0,2.8,176.1,0.6,0,0,0,90,90,180,180,90,90,790,14,0,0
