time*0.5 [s],altitude [cm],rotation [rpm],airspeed [m/s],pitch [deg],roll [deg]
39,0,0.40000000000000036,0.0,0.26000000000000023,0.2999999999999998
40,0,0.2999999999999998,0.0,0.2999999999999998,0.23999999999999755
41,0,0.6,0.0,0.2999999999999998,0.17999999999999527
42,0,0.6,0.0,0.3200000000000003,0.09999999999999432
43,0,0.6,0.0,0.2999999999999998,0.03999999999999737
44,0,0.6,0.0,0.28000000000000025,-0.019999999999998685
45,0,-0.019999999999998685,0.0,0.28000000000000025,-0.09999999999999432
46,0,-0.09999999999999432,0.0,0.3199999999999994,-0.17999999999998995
47,0,-0.17999999999998995,0.0,0.2999999999999998,-0.119999999999993
48,0,-0.119999999999993,0.0,0.26000000000000023,-0.03999999999999737
49,0,-0.03999999999999737,0.0,0.21999999999999975,0.03999999999999737
50,0,0.03999999999999737,0.0,0.20000000000000018,0.1599999999999966
51,0,0.1599999999999966,0.0,0.14000000000000012,0.23999999999999222
52,0,60.0,0.0,0.1200000000000001,0.19999999999999396
53,0,60.0,0.0,0.1200000000000001,0.17999999999999527
54,0,60.0,0.0,0.13999999999999968,0.11999999999999922
55,0,60.0,0.0,0.16000000000000014,-0.020000000000004903
56,0,60.0,0.0,0.20000000000000018,-0.14000000000000323
57,0,60.0,0.0,0.2200000000000002,-0.2200000000000042
58,0,0.5,0.0,0.26000000000000023,-0.2200000000000042
59,0,0.5,0.0,0.26000000000000023,-0.14000000000000323
60,0,0.5,0.0,0.26000000000000023,-0.019999999999998685
61,0,0.5,0.0,0.2799999999999998,0.08000000000000096
62,0,0.5,0.0,0.3200000000000003,0.1800000000000015
63,0,0.5,0.0,0.3200000000000003,0.20000000000000018
64,0,0.5,0.0,0.35999999999999943,0.1399999999999979
65,0,0.5,0.0,0.3799999999999999,0.059999999999996945
66,0,0.5,0.0,0.33999999999999986,0.03999999999999737
67,0,0.5,0.0,0.2999999999999998,0.0
68,0,0.0,0.0,0.26000000000000023,-0.03999999999999737
69,0,-0.03999999999999737,0.0,0.20000000000000018,-0.019999999999998685
70,0,-0.019999999999998685,0.0,0.13999999999999968,-0.019999999999998685
71,0,-0.019999999999998685,0.0,0.16000000000000014,-0.09999999999999964
72,0,-0.09999999999999964,0.0,0.1800000000000006,-0.1800000000000015
73,0,-0.1800000000000015,0.0,0.20000000000000018,-0.28000000000000114
74,0,-0.28000000000000114,0.0,0.19999999999999973,-0.3399999999999981
75,0,-0.3399999999999981,0.0,0.20000000000000018,-0.3199999999999985
76,0,-0.3199999999999985,0.0,0.1599999999999997,-0.25999999999999623
77,0,-0.25999999999999623,0.0,0.13999999999999968,-0.17999999999999527
78,0,-0.17999999999999527,0.0,0.16000000000000014,-0.09999999999999432
79,0,-0.09999999999999432,0.0,0.17999999999999972,-0.07999999999999563
80,0,-0.07999999999999563,0.0,0.20000000000000018,-0.09999999999999432
81,0,-0.09999999999999432,0.0,0.21999999999999975,-0.09999999999999432
82,0,-0.09999999999999432,0.0,0.23999999999999977,-0.119999999999993
83,0,-0.119999999999993,0.0,0.28000000000000025,-0.21999999999999353
84,0,-0.21999999999999353,0.0,0.2999999999999998,-0.2999999999999945
85,0,-0.2999999999999945,0.0,0.3200000000000003,-0.37999999999999545
86,0,-0.37999999999999545,0.0,0.3199999999999994,-0.5199999999999987
87,0,-0.5199999999999987,0.0,0.2999999999999998,-0.5999999999999996
88,0,-0.5999999999999996,0.0,0.23999999999999977,-0.580000000000001
89,0,-0.580000000000001,0.0,0.21999999999999975,-0.5999999999999996
90,0,-0.5999999999999996,0.0,0.20000000000000018,-0.6199999999999992
91,0,-0.6199999999999992,0.0,0.20000000000000018,-0.5199999999999987
92,0,-0.5199999999999987,0.0,0.20000000000000018,-0.46000000000000263
93,0,-0.46000000000000263,0.0,0.20000000000000018,-0.46000000000000263
94,0,-0.46000000000000263,0.0,0.18000000000000016,-0.42000000000000437
95,0,-0.42000000000000437,0.0,0.14000000000000012,-0.3600000000000083
