time*0.5 [s],altitude [cm],rotation [rpm],airspeed [m/s],pitch [deg],roll [deg]
54,0,142.1,0.31820000000000004,-22.959999999999997,11.679999999999996
55,0,139.6,0.37720000000000004,-22.6,12.62
56,0,145.2,0.3962,-21.68,13.319999999999999
57,0,145.1,0.34059999999999996,-20.96,14.140000000000004
58,0,144.5,0.3806,-20.6,14.140000000000004
59,0,144.5,0.3168,-20.1,13.6
60,0,151.6,0.21139999999999998,-19.22,13.3
61,0,155.8,0.18520000000000003,-18.28,12.839999999999998
62,0,157.5,0.13940000000000002,-17.32,11.879999999999995
63,0,160.4,0.1512,-15.799999999999999,10.879999999999995
64,0,159.3,0.09480000000000001,-14.32,10.1
65,0,147.8,0.2562,-13.5,9.259999999999996
66,0,145.6,0.3008,-12.98,8.639999999999997
67,0,149.0,0.30820000000000003,-12.52,8.179999999999996
68,0,148.0,0.24779999999999996,-12.440000000000001,7.979999999999995
69,0,150.1,0.2472,-12.46,7.8599999999999905
70,0,138.5,0.1126,-11.92,8.059999999999992
71,0,107.5,0.5718,-11.02,8.099999999999989
72,0,92.5,1.2848,-10.18,8.49999999999999
73,0,67.0,1.309,-9.56,9.039999999999992
74,0,63.5,1.3302,-9.100000000000001,9.339999999999993
75,0,66.6,1.4622000000000002,-9.06,9.439999999999992
76,0,63.8,1.4956,-9.36,9.719999999999994
77,0,57.8,1.1526,-9.68,9.959999999999997
78,0,55.9,1.8257999999999999,-9.48,10.539999999999997
79,0,5.3,2.354,-8.68,10.960000000000003
80,0,4.1,2.7939999999999996,-7.78,11.060000000000002
81,0,0.3,3.2502000000000004,-6.36,10.820000000000004
82,0,39.4,3.8650000000000007,-4.74,10.200000000000006
83,0,34.3,3.8986000000000005,-3.58,9.120000000000005
84,0,25.6,4.1664,-3.08,8.420000000000005
85,0,22.5,3.806400000000001,-2.62,7.760000000000008
86,0,17.0,2.8648,-2.38,7.320000000000005
87,0,13.1,2.081,-2.52,7.1
88,0,14.3,1.948,-2.54,6.459999999999996
89,0,15.1,1.719,-2.38,6.039999999999992
90,0,15.1,2.1548,-2.4,6.2199999999999935
91,0,15.1,2.1004,-2.34,5.619999999999993
92,0.0,15.1,2.2776000000000005,-2.04,4.779999999999996
93,0.0,14.3,1.7870000000000001,-1.6199999999999999,4.719999999999999
94,0,9.8,1.2040000000000002,-1.4,4.0
95,0,9.8,0.5342,-0.9800000000000004,2.8599999999999968
96,0,9.8,0.5409999999999999,-0.6399999999999997,2.3800000000000012
97,0,9.8,0.15840000000000004,-0.13999999999999968,2.080000000000001
98,0,9.8,0.0508,0.2799999999999998,1.3800000000000012
99,1.0,9.8,0.0522,0.9200000000000004,0.8200000000000047
100,1.0,9.8,0.0536,1.3600000000000003,0.3200000000000047
101,1.0,8.0,0.058199999999999995,1.6400000000000006,0.060000000000002274
102,0.0,8.0,0.0628,1.7800000000000002,0.020000000000004903
103,0.0,8.0,0.0516,1.8800000000000008,-0.1399999999999979
104,0.0,8.0,0.040400000000000005,1.9400000000000004,-0.1800000000000015
105,0.0,8.0,0.029199999999999997,2.040000000000001,-0.21999999999999886
106,0.0,8.0,0.014599999999999998,1.9999999999999991,-0.35999999999999677
107,0,8.0,0.0,1.8600000000000003,-0.5
108,0,8.0,0.0,1.6399999999999997,-0.3800000000000008
109,0,8.0,0.0,1.3399999999999999,-0.3399999999999981
110,1.0,4.3,0.0,1.04,-0.3800000000000008
111,1.0,4.3,0.0,0.7600000000000002,-0.30000000000000604
