time [ms],altitude [cm],airspeed [x0.01 m/s],angle_of_attack [x0.1 deg],airdata_pressure [hPa],airdata_temperature [degC],rotation [x0.1 rpm],rotation_voltage [0.01 V],elevator_angle,rudder_angle,trim,trim_sign,servo_received,screen_toggle,pitch [x0.1 deg],roll [x0.1 deg],gyro_temperature [x0.01 degC],servo_voltage [x0.01 V],servo_current [x0.01 A],main_voltage [x0.01 V],temperature [x0.01 degC],pressure [x0.01 hPa],humidity [x0.01 p.c.],GPS_time (GMT+9:00),latitude [x0.000001 deg],longitude [x0.000001 deg],GPS_altitude [x0.1 cm]
00033572,0088,0000,0000,0000,00,0000,000,101,089,11,+,1,0,-040,-012,2514,0790,0032,0764,2737,101206,8401,
00034072,0090,0000,0000,0000,00,0000,000,101,089,11,+,1,0,-038,-014,2510,0793,0037,0764,2738,101209,8395,
00034572,0090,0000,0000,0000,00,0000,000,101,089,11,+,1,0,-037,-018,2524,0793,0045,0762,2740,101208,8390,
00035072,0090,0000,0000,0000,00,0000,000,101,089,11,+,1,0,-035,-014,2514,0779,0030,0764,2742,101209,8381,
00035572,0088,0000,0000,0000,00,0000,000,101,089,11,+,1,0,-043,-010,2528,0796,0028,0764,2743,101210,8374,
00036072,0088,0000,0000,0000,00,0000,000,101,089,11,+,1,0,-039,-015,2519,0793,0028,0764,2744,101211,8366,
00036572,0086,0000,0000,0000,00,0000,000,101,089,11,+,1,0,-040,-017,2524,0792,0030,0764,2745,101210,8359,
00037072,0086,0000,0000,0000,00,0000,000,101,089,11,+,1,0,-039,-013,2524,0794,0033,0762,2746,101209,8352,
00037572,0084,0000,0000,0000,00,0000,000,101,089,11,+,1,0,-040,-015,2519,0796,0029,0762,2747,101210,8345,
00038072,0086,0000,0000,0000,00,0000,000,101,089,11,+,1,0,-037,-012,2528,0788,0029,0764,2749,101212,8340,
00038572,0086,0000,0000,0000,00,0000,000,101,089,11,+,1,0,-048,-012,2524,0794,0034,0764,2750,101209,8330,
00039072,0086,0000,0000,0000,00,0000,000,101,089,11,+,1,0,-048,-021,2533,0794,0036,0764,2752,101209,8324,
00039572,0086,0000,0000,0000,00,0000,000,101,089,11,+,1,0,-035,-018,2514,0788,0025,0764,2753,101213,8317,
00040072,0086,0000,0000,0000,00,0000,000,101,089,11,+,1,0,-039,-014,2524,0797,0025,0764,2754,101208,8310,
00040572,0086,0000,0000,0000,00,0000,000,101,089,11,+,1,0,-038,-018,2528,0794,0031,0764,2755,101206,8303,
00041072,0086,0000,0000,0000,00,0000,000,101,089,11,+,1,0,-042,-005,2528,0794,0028,0764,2756,101207,8296,
00041572,0086,0000,0000,0000,00,0000,000,101,089,11,+,1,0,-037,-017,2533,0794,0043,0764,2757,101205,8290,
00042072,0086,0000,0000,0000,00,0000,000,101,089,11,+,1,0,-041,-014,2528,0794,0037,0764,2758,101207,8284,
00042572,0086,0000,0000,0000,00,0000,000,101,089,11,+,1,0,-040,-012,2524,0793,0041,0764,2759,101208,8276,
00043072,0086,0000,0000,0000,00,0000,000,101,089,11,+,1,0,-042,-020,2533,0794,0036,0764,2760,101208,8268,
00043572,0088,0000,0000,0000,00,0000,000,101,089,11,+,1,0,-035,-024,2533,0794,0034,0764,2762,101206,8263,
00044072,0088,0000,0000,0000,00,0000,000,101,089,11,+,1,0,-041,-016,2533,0794,0028,0764,2764,101210,8256,
00044572,0088,0000,0000,0000,00,0000,000,101,089,11,+,1,0,-035,-018,2533,0794,0021,0764,2765,101206,8252,
00045072,0088,0000,0000,0000,00,0000,000,101,089,11,+,1,0,-036,-020,2543,0794,0028,0764,2766,101208,8245,
00045572,0090,0000,0000,0000,00,0000,000,101,089,11,+,1,0,-036,-011,2533,0794,0038,0762,2767,101208,8240,
00046072,0088,0000,0000,0000,00,0000,000,101,088,11,+,1,0,-043,-007,2538,0794,0027,0762,2768,101206,8232,
00046572,0088,0000,0000,0000,00,0000,000,101,089,11,+,1,0,-040,-026,2543,0780,0034,0764,2770,101208,8226,
00047072,0086,0000,0000,0000,00,0000,000,101,089,11,+,1,0,-043,-008,2533,0796,0021,0764,2771,101209,8220,
