altitude,rotation,airspeed
000031,000020,000773
000030,000020,001898
000030,000020,002587
000030,000020,001700
000030,000020,001292
000030,000020,001192
000030,000020,000056
000030,000020,000188
000030,000020,000860
000030,000020,001187
000030,000020,001910
000030,000020,000855
000031,000020,000451
000031,000040,000000
000030,000080,000000
000030,000040,000000
000031,000040,000000
000031,000040,000108
000031,000040,001250
000030,000040,001798
000030,000040,002258
000030,000040,000886
000031,000040,000231
000031,000020,000290
000030,000020,000059
000031,000020,000145
000031,000040,000543
000031,000020,000543
000030,000020,000350
000030,000020,001185
000030,000040,002454
000030,000080,002776
000030,000020,001771
000031,000020,001323
000030,000020,000321
000031,000020,000000
000031,000020,000690
000030,000020,000690
000030,000020,000230
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000086
000030,000020,000258
000030,000020,001894
000032,000020,001918
000030,000020,000196
000030,000040,000347
000030,000020,000150
000030,000060,000216
000031,000080,000317
000031,000080,000317
000031,000080,000080
000032,000080,000080
000032,000080,000000
000032,000080,000000
000032,000080,000066
000031,000080,000066
000031,000020,000139
000031,000020,001043
000031,000020,001043
000031,000020,000904
000031,000060,000161
000031,000040,000161
000031,000040,000000
000030,000040,000000
000030,000040,002405
000031,000040,003581
000030,000040,003286
000030,000020,001176
000031,000020,000060
000031,000020,000060
000031,000020,000201
000032,000020,000215
000032,000020,000074
000031,000020,000000
000031,000020,000000
000031,000020,000000
000030,000020,000082
000030,000020,002916
000031,000020,003174
000030,000060,003174
000030,000020,000456
000030,000020,000401
000030,000020,000116
000030,000020,000095
000030,000020,000070
000031,000020,000070
000031,000020,000087
000030,000020,000168
000030,000020,000412
000030,000020,000312
000030,000020,000163
000031,000020,000195
000030,000020,000173
000030,000020,000173
000030,000020,000180
000030,000020,000214
000030,000020,000214
000030,000020,000314
000031,000020,000300
000030,000020,000210
000030,000020,000176
000030,000020,000083
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000103
000030,000020,000111
000030,000020,000187
000030,000020,000192
000030,000020,000116
000030,000020,000212
000030,000020,000316
000030,000020,000225
000030,000020,000217
000030,000020,000107
000030,000020,000111
000030,000020,000284
000030,000020,000288
000030,000020,000226
000030,000020,000110
000030,000020,000000
000030,000020,000061
000030,000020,000061
000030,000020,000079
000030,000020,000213
000030,000020,000133
000030,000020,000000
000030,000020,000000
000030,000020,000000
000031,000020,000000
000031,000020,000000
000030,000020,000000
000031,000020,000088
000030,000020,000208
000030,000020,000401
000030,000020,000420
000030,000020,000216
000030,000020,000107
000031,000020,000000
000031,000020,000000
000031,000020,000000
000031,000020,000193
000031,000020,000198
000031,000020,000116
000031,000020,000004
000031,000020,000000
000032,000020,000000
000031,000020,000000
000031,000020,000316
000031,000020,000316
000031,000020,000164
000031,000020,000083
000031,000020,000192
000031,000020,000109
000031,000020,001054
000031,000020,003053
000031,000020,003005
000031,000020,000956
000031,000020,000044
000031,000020,000000
000031,000020,000000
000031,000020,000087
000031,000020,000087
000031,000020,000000
000031,000020,000000
000031,000020,000022
000030,000020,000201
000030,000020,002710
000030,000020,002531
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000088
000030,000020,000288
000030,000020,000270
000030,000020,000185
000030,000020,003207
000030,000020,003118
000031,000020,000145
000030,000020,000048
000030,000020,000148
000030,000020,000206
000030,000020,000206
000030,000020,000182
000031,000020,000506
000030,000020,000506
000030,000020,000431
000030,000020,000346
000030,000020,000190
000030,000020,000333
000030,000020,000333
000030,000040,000211
000031,000040,000068
000030,000040,000068
000030,000080,000068
000030,000040,000068
000030,000040,000112
000030,000020,000200
000030,000020,000706
000030,000020,001208
000030,000020,001147
000031,000160,001264
000031,000140,001175
000030,000020,000672
000030,000040,000622
000030,000020,000582
000030,000040,000486
000030,000040,000414
000030,000040,000573
000030,000060,000689
000030,000060,000786
000030,000020,000836
000030,000020,000677
000030,000040,000395
000030,000040,000362
000031,000040,000362
000030,000040,000290
000030,000040,000159
000030,000060,000159
000030,000080,000222
000030,000060,000394
000031,000060,000635
000031,000080,000680
000031,000060,000680
000031,000020,000563
000030,000020,000822
000032,000020,001040
000031,000040,001021
000031,000020,001273
000030,000080,000735
000030,000040,000640
000031,000040,000576
000031,000040,000338
000031,000060,000439
000031,000040,000315
000031,000040,000655
000031,000040,001118
000031,000060,001430
000031,000040,001466
000031,000100,001340
000032,000040,001713
000032,000060,001618
000032,000060,001045
000032,000060,000795
000031,000040,000715
000031,000040,000856
000031,000040,000562
000031,000040,000252
000030,000040,000000
000031,000040,000000
000031,000020,000000
000036,000020,000349
000030,000020,001476
000030,000020,001127
000031,000020,000119
000031,000020,000000
000030,000020,000000
000030,000020,000000
000030,000020,000172
000031,000020,000172
000031,000020,000323
000031,000020,000151
000031,000020,001192
000030,000020,002136
000031,000020,002284
000030,000020,002086
000030,000020,001070
000030,000020,003517
000030,000020,004122
000030,000020,003955
000030,000020,001294
000031,000020,001207
000030,000020,001194
