time*0.5 [s],altitude [cm],rotation [rpm],airspeed [m/s],yaw [deg],pitch [deg],roll [deg]
163,1,76.6,4.307,-2.05,1.9,-1.95
164,0,80.0,4.351,-3.76,1.98,-0.26
165,0,73.3,4.719,-3.76,1.98,-0.26
166,0,70.0,5.077,-3.76,1.98,-0.26
167,0,66.6,4.445,-4.68,-1.73,-1.16
168,0,63.3,4.109,-5.17,-2.78,-0.37
169,1,60.0,3.544,-5.17,-2.78,-0.37
170,1,60.0,3.792,-5.92,-3.64,-1.65
171,1,53.3,3.792,-5.92,-3.64,-1.65
172,0,50.0,3.792,-6.72,-1.66,-2.04
173,0,50.0,3.792,-6.72,-1.66,-2.04
174,0,50.0,3.792,-6.96,-1.4,-2.59
175,0,50.0,3.792,-6.96,-1.4,-2.59
176,0,50.0,3.792,-7.52,-1.95,-3.27
177,0,50.0,3.792,-7.52,-1.95,-3.27
178,1,50.0,3.792,-7.52,-1.95,-3.27
179,1,36.6,3.792,-8.6,-1.96,-2.48
180,1,30.0,2.436,-8.6,-1.96,-2.48
181,0,26.6,2.327,-9.34,-1.42,-2.81
182,0,23.3,2.176,-9.34,-1.42,-2.81
183,0,26.6,2.049,-10.2,-1.34,-2.8
184,0,23.3,1.912,-10.2,-1.34,-2.8
185,0,10.0,1.809,-10.2,-1.34,-2.8
186,0,10.0,1.691,-10.27,-1.7,-2.36
187,0,3.3,1.573,-10.27,-1.7,-2.36
188,0,3.3,1.39,-9.93,-1.44,-1.48
189,0,3.3,1.255,-9.93,-1.44,-1.48
190,0,3.3,1.126,-9.88,-1.76,-0.56
191,0,3.3,1.005,-9.88,-1.76,-0.56
192,0,3.3,0.901,-9.88,-1.15,-0.77
193,0,3.3,0.763,-9.88,-1.15,-0.77
194,0,3.3,0.682,-9.83,-0.47,-0.59
195,0,3.3,0.617,-9.84,-0.18,-0.31
196,0,3.3,0.564,-9.84,-0.18,-0.31
197,0,3.3,0.485,-9.84,-0.18,-0.31
198,0,3.3,0.44,-9.88,-0.04,-0.67
199,0,3.3,0.404,-9.81,0.05,-0.66
200,1,3.3,0.381,-9.81,0.05,-0.66
201,1,3.3,0.353,-9.79,0.06,-0.39
202,0,3.3,0.318,-9.82,-0.02,-0.42
203,0,3.3,0.3,-9.82,-0.02,-0.42
204,0,3.3,0.271,-9.82,-0.02,-0.42
205,0,3.3,0.239,-9.82,-0.02,-0.42
206,0,3.3,0.207,-9.82,-0.02,-0.42
207,0,3.3,0.17,-9.82,-0.02,-0.42
208,0,3.3,0.138,-9.82,-0.02,-0.42
209,0,3.3,0.108,-9.82,-0.02,-0.42
210,0,3.3,0.078,-8.43,-0.57,-0.74
211,0,3.3,0.054,-8.43,-0.57,-0.74
212,0,3.3,0.054,-8.07,-0.7,-0.58
213,0,3.3,0.054,-8.07,-0.7,-0.58
214,0,3.3,0.054,-6.9,-0.6,-1.11
215,0,3.3,0.054,-6.9,-0.6,-1.11
216,0,3.3,0.054,-6.1,-0.92,-0.86
217,0,3.3,0.054,-6.1,-0.92,-0.86
218,0,3.3,0.054,-5.73,-1.16,0.14
219,0,3.3,1.245,-5.73,-1.16,0.14
220,0,3.3,1.543,-5.73,-1.16,0.14
221,0,3.3,0.803,-5.86,-0.37,0.91
222,0,3.3,0.803,-5.86,-0.37,0.91
223,0,3.3,0.003,-5.71,-0.49,-0.05
224,0,3.3,0.206,-5.71,-0.49,-0.05
225,2,3.3,0.0,-5.76,-0.62,-0.14
226,2,3.3,0.0,-5.76,-0.62,-0.14
227,2,3.3,0.0,-5.78,-0.64,-0.41
228,0,3.3,0.0,-5.78,-0.64,-0.41
229,0,3.3,0.0,-6.2,-0.25,-0.98
230,1,3.3,0.004,-6.23,0.3,-0.86
231,1,3.3,0.69,-6.23,0.3,-0.86
232,0,3.3,2.376,-6.12,-0.19,-0.57
233,0,3.3,2.073,-6.12,-0.19,-0.57
234,0,3.3,3.032,-6.3,-0.32,-0.49
235,0,3.3,0.919,-6.3,-0.32,-0.49
236,0,3.3,0.69,-6.56,0.11,-0.38
237,0,3.3,0.031,-6.56,0.11,-0.38
238,0,3.3,0.915,-7.06,-0.03,0.04
239,0,3.3,0.915,-7.06,-0.03,0.04
240,0,3.3,0.067,-7.3,0.14,0.34
241,0,3.3,2.461,-7.33,-0.01,-0.28
242,0,3.3,2.461,-7.33,-0.01,-0.28
243,0,3.3,0.0,-7.36,-0.34,-0.2
244,0,3.3,0.095,-7.36,-0.34,-0.2
245,0,3.3,1.005,-7.7,-0.25,-0.93
246,0,3.3,1.08,-7.7,-0.25,-0.93
247,0,3.3,0.618,-7.92,0.02,0.62
248,0,3.3,1.134,-7.92,0.02,0.62
249,0,3.3,0.801,-7.67,-0.06,-0.38
250,0,3.3,0.359,-7.67,-0.06,-0.38
251,0,3.3,0.395,-7.67,-0.06,-0.38
252,0,3.3,2.202,-8.09,-0.34,-0.01
253,0,3.3,0.024,-8.09,-0.34,-0.01
254,0,3.3,0.251,-8.19,-0.08,-0.28
255,0,3.3,0.861,-8.19,-0.08,-0.28
256,0,3.3,1.59,-8.32,-0.64,0.16
257,0,3.3,0.816,-8.28,-0.29,0.2
258,0,3.3,0.525,-8.28,-0.29,0.2
259,0,3.3,0.029,-8.64,-0.18,-0.24
260,0,3.3,0.536,-8.64,-0.18,-0.24
261,0,3.3,0.925,-8.64,-0.18,-0.24
262,0,3.3,0.273,-9.46,-0.75,-0.09
263,0,3.3,0.138,-9.59,0.21,-0.23
264,0,3.3,0.235,-9.59,0.21,-0.23
265,0,3.3,0.002,-9.82,-0.25,-0.24
266,0,3.3,0.004,-9.82,-0.25,-0.24
267,0,3.3,0.024,-9.82,-0.25,-0.24
268,0,3.3,0.24,-9.87,-0.21,-0.3
269,0,3.3,0.291,-9.87,-0.21,-0.3
270,0,3.3,0.005,-10.07,-0.88,0.19
271,0,3.3,0.223,-10.07,-0.88,0.19
272,0,3.3,0.716,-9.89,-0.65,-0.68
273,0,3.3,0.317,-9.89,-0.65,-0.68
274,0,3.3,0.108,-10.16,0.01,-0.55
275,0,3.3,0.164,-10.16,0.01,-0.55
